Loan Amount,Interest Rate,Income,Credit Score,Loan Term,Property Value,Debt-to-Income Ratio,Loan-to-Value,Income-to-Loan Ratio,Monthly Payment,Interest Burden,Credit Score Category,High Risk Flag,Employment Type,Loan Purpose,Marital Status,Dependents,Approved
209435.95,6,59978.42,636,20,150931.3,0.32,1.388,0.286,1500.46,0.3,Fair,0,Unemployed,Home Purchase,Single,0,1
180095.57,5.53,63968.08,588,10,225112.17,0.33,0.8,0.355,1956.95,0.367,Fair,0,Self-employed,Home Purchase,Single,2,1
172630.58,3,73827.81,666,12,261665.72,0.26,0.66,0.428,1429.01,0.232,Fair,0,Salaried,Refinancing,Married,1,0
219860.82,3.2,59434.15,754,17,370547.43,0.32,0.593,0.27,1399.11,0.282,Very Good,0,Unemployed,Home Purchase,Single,1,1
133112.4,3,40000,563,10,236562.07,0.25,0.563,0.3,1285.34,0.386,Poor,0,Unemployed,Home Purchase,Single,1,0
273075.98,3,89886.5,666,10,242026.24,0.5,1.128,0.329,2636.84,0.352,Fair,0,Self-employed,Refinancing,Married,1,1
293128.67,3.46,67291.8,568,10,339140.87,0.3,0.864,0.23,2892.68,0.516,Poor,0,Self-employed,Home Improvement,Single,0,1
234497.54,3,73153.96,599,18,347108.48,0.23,0.676,0.312,1406.34,0.231,Fair,0,Salaried,Home Improvement,Married,2,1
184931.81,5.06,75520.38,817,18,187683.98,0.3,0.985,0.408,1306.62,0.208,Excellent,0,Salaried,Home Purchase,Married,0,1
169779.5,6,101038.77,646,19,274922.62,0.25,0.618,0.595,1249.72,0.148,Fair,0,Salaried,Home Purchase,Single,0,1
184580.64,3.08,40000,711,12,244524.77,0.13,0.755,0.217,1534.85,0.46,Good,0,Salaried,Refinancing,Single,0,1
215975.81,3,63790.05,602,14,157663.7,0.38,1.37,0.295,1575.97,0.296,Fair,0,Salaried,Refinancing,Married,1,1
250446.64,5.99,88477.95,614,19,326333.99,0.14,0.767,0.353,1842.44,0.25,Fair,0,Self-employed,Refinancing,Married,1,0
222512.34,3,88518.77,471,12,381961.19,0.22,0.583,0.398,1841.93,0.25,Poor,0,Salaried,Home Purchase,Married,0,1
263045.66,3,55309.15,630,22,282315.51,0.36,0.932,0.21,1362.3,0.296,Fair,0,Salaried,Home Purchase,Divorced,0,1
227602.64,3.25,85914.53,754,11,282495.01,0.39,0.806,0.377,2052.62,0.287,Very Good,0,Retired,Home Purchase,Divorced,3,1
251661.46,5.36,40381.41,656,20,356103.8,0.26,0.707,0.16,1711.71,0.509,Fair,0,Salaried,Home Purchase,Married,0,0
198514.49,4.6,90693.64,600,21,151001.03,0.31,1.315,0.457,1230.39,0.163,Fair,0,Salaried,Home Purchase,Married,0,0
142548.07,5.89,63404.66,737,20,234695,0.36,0.607,0.445,1012.01,0.192,Good,0,Self-employed,Home Improvement,Married,0,1
264336.73,3,104613.68,532,19,233212.06,0.13,1.133,0.396,1522.42,0.175,Poor,0,Self-employed,Home Purchase,Married,1,0
309255.15,5.64,95158.18,749,20,357549.59,0.44,0.865,0.308,2151.65,0.271,Very Good,0,Unemployed,Home Purchase,Single,3,1
214764.6,3.94,92508.18,544,17,325095.27,0.26,0.661,0.431,1446.08,0.188,Poor,0,Unemployed,Home Purchase,Single,2,0
172724.85,3,90085.55,556,10,219025.36,0.18,0.789,0.522,1667.84,0.222,Poor,0,Unemployed,Home Improvement,Divorced,1,1
223669.96,6,52859.17,656,11,273516.78,0.31,0.818,0.236,2318.79,0.526,Fair,0,Unemployed,Refinancing,Single,0,0
182377.28,4.38,71441.61,722,11,183853.53,0.33,0.992,0.392,1743.85,0.293,Good,0,Salaried,Home Improvement,Married,0,1
201589.34,6,85499.34,592,13,161752.05,0.36,1.246,0.424,1864.14,0.262,Fair,0,Unemployed,Home Purchase,Married,1,0
204232.58,6,62468.41,751,11,183500.89,0.42,1.113,0.306,2117.29,0.407,Very Good,0,Salaried,Home Improvement,Married,1,0
162136.93,5.83,71714.99,850,21,215388.6,0.35,0.753,0.442,1116.72,0.187,Excellent,0,Unemployed,Home Purchase,Married,0,0
164061.64,6,40000,677,10,220314.75,0.15,0.745,0.244,1821.42,0.546,Good,0,Unemployed,Refinancing,Married,1,0
196413.9,3,73230.67,576,11,154892.95,0.22,1.268,0.373,1748.82,0.287,Poor,0,Self-employed,Home Purchase,Married,1,0
190103.14,6,58819.82,764,10,237942.49,0.22,0.799,0.309,2110.53,0.431,Very Good,0,Salaried,Home Purchase,Divorced,2,0
228500.25,3.9,69586.75,713,10,371086.01,0.29,0.616,0.305,2302.66,0.397,Good,0,Self-employed,Home Improvement,Divorced,3,1
213531.5,5.63,98707,777,16,182172.66,0.21,1.172,0.462,1689.63,0.205,Very Good,0,Retired,Home Purchase,Married,2,1
230308.79,4.44,105494.22,615,10,330172.26,0.27,0.698,0.458,2379.95,0.271,Fair,0,Retired,Home Purchase,Married,0,1
192946.47,5.65,40000,850,15,234618.7,0.1,0.822,0.207,1591.55,0.477,Excellent,0,Retired,Home Improvement,Divorced,3,1
159661.24,4.1,52884.02,658,20,362097.91,0.11,0.441,0.331,976.24,0.222,Fair,0,Retired,Home Improvement,Single,0,1
147836.1,6,91189.6,613,13,180457,0.26,0.819,0.617,1367.08,0.18,Fair,0,Salaried,Home Purchase,Single,1,0
249471.69,5.46,63285.52,628,18,295439.51,0.27,0.844,0.254,1816.45,0.344,Fair,0,Self-employed,Home Purchase,Single,0,1
175727.31,3,74290.41,541,17,199186.3,0.32,0.882,0.423,1100.71,0.178,Poor,0,Unemployed,Home Purchase,Divorced,0,0
168383.78,4.92,68434.23,672,16,301643.49,0.26,0.558,0.406,1268.56,0.222,Good,0,Retired,Refinancing,Divorced,1,0
263962.71,5.26,86450.07,658,23,289502.5,0.42,0.912,0.328,1650.96,0.229,Fair,0,Salaried,Home Purchase,Single,0,0
180326.74,5.33,44798.75,593,11,232266.05,0.16,0.776,0.248,1808.64,0.484,Fair,0,Unemployed,Home Purchase,Single,0,1
100000,3,101652.84,608,10,229121.51,0.21,0.436,1.017,965.61,0.114,Fair,0,Salaried,Home Purchase,Single,1,1
211023.44,3.86,61900.51,849,23,342095.61,0.33,0.617,0.293,1154.95,0.224,Excellent,0,Salaried,Home Purchase,Single,3,1
172542.06,4.71,60989.14,651,12,400000,0.36,0.431,0.353,1570.69,0.309,Fair,0,Self-employed,Home Purchase,Single,3,1
163866.96,3.95,54967.91,482,13,319063.81,0.28,0.514,0.335,1345.07,0.294,Poor,0,Self-employed,Home Purchase,Married,1,0
193044.68,6,98951.95,492,15,289423.47,0.3,0.667,0.513,1629.02,0.198,Poor,0,Unemployed,Home Purchase,Married,1,0
100000,4.06,44555.6,738,23,279625.86,0.36,0.358,0.446,557.88,0.15,Good,0,Salaried,Home Purchase,Single,1,1
107039.6,3,91643.72,735,14,262766.38,0.41,0.407,0.856,781.06,0.102,Good,0,Salaried,Home Purchase,Married,1,0
176992.09,4.08,78839.38,638,10,150000,0.21,1.18,0.445,1798.59,0.274,Fair,0,Salaried,Home Purchase,Married,1,0
228054.89,3,73397.67,615,13,265581.01,0.42,0.859,0.322,1767.25,0.289,Fair,0,Self-employed,Home Purchase,Married,0,0
186845.01,4.39,67482.76,727,21,375270.48,0.4,0.498,0.361,1136.7,0.202,Good,0,Self-employed,Refinancing,Married,2,0
184672.51,3,71562.66,591,13,166732.69,0.35,1.108,0.388,1431.07,0.24,Fair,0,Unemployed,Home Purchase,Single,2,1
199910.4,3,73615.94,583,19,203721.91,0.18,0.981,0.368,1151.85,0.188,Fair,0,Salaried,Other,Married,0,0
244504.55,5.26,95023.39,556,21,261005.38,0.38,0.937,0.389,1605.06,0.203,Poor,0,Self-employed,Refinancing,Single,1,1
201956.37,3,81809.89,751,10,268295.43,0.32,0.753,0.405,1950.11,0.286,Very Good,0,Self-employed,Home Purchase,Single,2,0
197460.12,3.77,81864.94,745,11,150000,0.47,1.316,0.415,1829.4,0.268,Very Good,0,Unemployed,Refinancing,Single,2,1
172183.3,6,82867.44,757,13,340941.72,0.21,0.505,0.481,1592.22,0.231,Very Good,0,Salaried,Refinancing,Single,0,1
